Macro, min = Dec 08, 2017 - 0.803978, max = Oct 12, 2017 - 5.85 
MonacoCoin, min = Aug 27, 2017 - 0.070831, max = Sep 11, 2017 - 1.24 
Lisk, min = Mar 02, 2017 - 0.095652, max = Dec 06, 2017 - 9.94 
DIBCOIN, min = Oct 24, 2017 - 0.003868, max = Apr 20, 2017 - 1.19 
ReeCoin, min = Oct 26, 2017 - 0.000010, max = Jul 07, 2017 - 0.256779 
YENTEN, min = Dec 18, 2017 - 0.208251, max = Dec 18, 2017 - 0.208251 
Storj, min = Jul 16, 2017 - 0.274610, max = Aug 12, 2017 - 2.52 
KashhCoin, min = Nov 17, 2017 - 0.000002, max = Feb 23, 2017 - 0.051362 
TerraNova, min = Nov 30, 2017 - 0.607880, max = Aug 21, 2017 - 90.17 
BigUp, min = Mar 26, 2016 - 0.000004, max = Dec 17, 2017 - 0.003822 
HiCoin, min = Aug 28, 2017 - 0.000854, max = May 08, 2016 - 0.090792 
EtherDoge, min = Dec 13, 2017 - 0.000001, max = Nov 29, 2017 - 9.6e-07 
GoByte, min = Nov 21, 2017 - 0.808809, max = Dec 06, 2017 - 42.66 
CacheCoin, min = Jan 14, 2015 - 0.000211, max = Mar 04, 2014 - 5.77 
SuperNET, min = Dec 20, 2015 - 0.324357, max = May 08, 2017 - 9.47 
UGAIN, min = Sep 09, 2016 - 0.000006, max = Dec 11, 2017 - 0.002369 
Hyper, min = Dec 15, 2017 - 0.000931, max = Nov 28, 2017 - 0.018794 
eREAL, min = Nov 10, 2017 - 0.000207, max = Oct 27, 2017 - 0.005071 
Megacoin, min = Jul 07, 2013 - 0.002492, max = Nov 30, 2013 - 2.70 
Spectrecoin, min = Jan 15, 2017 - 0.001626, max = Dec 18, 2017 - 1.84 
ICON, min = Oct 28, 2017 - 0.397951, max = Dec 18, 2017 - 3.54 
Creditbit, min = Nov 24, 2016 - 0.002235, max = Apr 13, 2017 - 2.96 
Peercoin, min = Jun 09, 2013 - 0.100005, max = Nov 30, 2013 - 8.99 
Franko, min = May 23, 2014 - 0.000729, max = Dec 02, 2013 - 9.63 
PostCoin, min = Jun 03, 2016 - 0.000063, max = Jul 10, 2017 - 0.063846 
Kronecoin, min = Nov 06, 2017 - 0.002933, max = Sep 06, 2017 - 0.134302 
VIBE, min = Sep 26, 2017 - 0.009684, max = Oct 06, 2017 - 0.176385 
PlexCoin, min = Dec 14, 2017 - 0.015284, max = Dec 01, 2017 - 0.800071 
LAToken, min = Nov 21, 2017 - 0.109761, max = Dec 13, 2017 - 0.341739 
Revain, min = Nov 03, 2017 - 0.043620, max = Dec 17, 2017 - 0.750364 
LUXCoin, min = Nov 11, 2017 - 0.661549, max = Dec 08, 2017 - 9.85 
Denarius, min = Oct 28, 2017 - 0.127671, max = Jul 06, 2017 - 1.85 
Intelligent, min = Nov 12, 2017 - 0.060997, max = Oct 27, 2017 - 1.15 
SmartMesh, min = Dec 14, 2017 - 0.026461, max = Dec 15, 2017 - 0.084260 
InflationCoin, min = Nov 18, 2017 - 0.000005, max = Apr 21, 2017 - 0.000694 
UnbreakableCoin, min = Mar 17, 2016 - 0.000496, max = Dec 18, 2017 - 2.73 
FedoraCoin, min = Jun 30, 2015 - 0.000001, max = Jan 15, 2014 - 9e-07 
Bitcoin2x, min = Nov 29, 2017 - 0.000480, max = Nov 21, 2017 - 0.054940 
Skeincoin, min = Mar 24, 2016 - 0.000008, max = Dec 08, 2017 - 0.052597 
YashCoin, min = Mar 25, 2017 - 0.009055, max = Oct 21, 2017 - 4.36 
Target, min = Dec 17, 2017 - 0.003913, max = Sep 29, 2017 - 0.054766 
TrustPlus, min = Aug 15, 2014 - 0.000068, max = Dec 18, 2017 - 0.298760 
DNotes, min = Mar 08, 2014 - 0.000074, max = Jun 10, 2017 - 0.316221 
FundYourselfNow, min = Aug 05, 2017 - 1.07, max = Aug 15, 2017 - 7.31 
Zetacoin, min = Oct 21, 2013 - 0.000108, max = Dec 10, 2013 - 0.114933 
Cyder, min = Oct 27, 2017 - 0.000117, max = Nov 05, 2017 - 0.002481 
Etheroll, min = Jun 10, 2017 - 0.002514, max = Jul 04, 2017 - 93.85 
Bitcoin, min = Jun 11, 2015 - 0.000044, max = Mar 20, 2014 - 1.09 
Etherparty, min = Nov 03, 2017 - 0.020867, max = Dec 17, 2017 - 0.105966 
Rubycoin, min = Mar 25, 2014 - 0.000190, max = Oct 13, 2017 - 3.32 
ToaCoin, min = Sep 15, 2017 - 0.003402, max = Dec 07, 2017 - 0.013270 
Sumokoin, min = May 30, 2017 - 0.045572, max = Dec 09, 2017 - 1.34 
ANRYZE, min = Nov 27, 2017 - 0.007895, max = Nov 29, 2017 - 0.033397 
RedCoin, min = Dec 10, 2016 - 0.000023, max = Jan 24, 2014 - 0.022233 
POLY, min = Nov 30, 2017 - 13.49, max = Dec 08, 2017 - 21.76 
bitBTC, min = Mar 19, 2017 - 1002.47, max = Jan 15, 2017 - 998.88 
Wi, min = Dec 04, 2017 - 0.001864, max = Oct 06, 2017 - 0.014713 
Wild, min = Nov 07, 2017 - 0.040873, max = Dec 03, 2017 - 0.426363 
Bitz, min = Mar 11, 2015 - 0.000070, max = Oct 13, 2017 - 1.40 
OX, min = Dec 17, 2017 - 0.000032, max = Sep 11, 2017 - 0.050406 
Blakecoin, min = Dec 15, 2015 - 0.000626, max = Feb 16, 2014 - 0.133020 
KibiCoin, min = Dec 08, 2017 - 0.000341, max = Nov 09, 2017 - 0.066486 
GPU, min = Jun 27, 2016 - 0.000019, max = Jan 10, 2017 - 0.054461 
HollyWoodCoin, min = Dec 14, 2017 - 10.65, max = Dec 16, 2017 - 24.86 
Bitcurrency, min = Nov 14, 2017 - 0.000073, max = Dec 05, 2017 - 0.027432 
Waves, min = Aug 02, 2016 - 0.122684, max = Dec 09, 2017 - 9.87 
MonaCoin, min = Jan 14, 2015 - 0.019599, max = Dec 04, 2017 - 8.74 
XCurrency, min = Dec 03, 2016 - 0.007707, max = Sep 01, 2017 - 6.88 
B3Coin, min = Dec 05, 2017 - 0.000019, max = Sep 16, 2017 - 3.80 
Breakout, min = Dec 29, 2016 - 0.011816, max = Jun 26, 2017 - 2.16 
CRTCoin, min = Mar 18, 2016 - 0.000812, max = Jun 03, 2014 - 2.53 
Status, min = Sep 15, 2017 - 0.016075, max = Dec 17, 2017 - 0.195791 
BCAP, min = Oct 14, 2017 - 0.167863, max = May 11, 2017 - 4.72 
Sprouts, min = Jul 19, 2017 - 0.000001, max = May 06, 2017 - 9.9e-07 
Blocknet, min = Nov 11, 2015 - 0.009730, max = Jul 23, 2017 - 9.73 
Pandacoin, min = Jan 11, 2016 - 0.000001, max = Aug 24, 2015 - 9e-07 
SagaCoin, min = Dec 15, 2017 - 0.180756, max = Dec 11, 2017 - 2.48 
Bitair, min = Dec 18, 2017 - 0.010392, max = Dec 18, 2017 - 0.017507 
EA, min = Dec 10, 2017 - 0.553261, max = Nov 17, 2017 - 6.87 
Dogecoin, min = May 07, 2015 - 0.000085, max = Dec 17, 2017 - 0.007628 
Binance, min = Aug 01, 2017 - 0.096109, max = Dec 17, 2017 - 6.75 
OracleChain, min = Nov 23, 2017 - 0.055773, max = Dec 17, 2017 - 1.31 
NuShares, min = May 03, 2017 - 0.000058, max = Feb 06, 2015 - 0.029793 
Veros, min = Nov 11, 2017 - 0.000010, max = Dec 23, 2016 - 0.091180 
AdShares, min = Sep 04, 2017 - 0.048068, max = Oct 02, 2017 - 1.08 
LetItRide, min = Nov 05, 2016 - 0.000014, max = Jul 19, 2016 - 0.019564 
StrikeBitClub, min = Dec 09, 2017 - 0.426416, max = Dec 11, 2017 - 5.81 
PRCoin, min = Oct 08, 2017 - 0.003855, max = Mar 15, 2017 - 0.055384 
BitAsean, min = Nov 21, 2017 - 0.007730, max = Aug 21, 2017 - 0.670087 
Blackstar, min = Jan 17, 2017 - 0.000008, max = Dec 21, 2016 - 0.001592 
GoldMaxCoin, min = Mar 27, 2017 - 0.000050, max = May 21, 2016 - 0.340298 
FlypMe, min = Nov 28, 2017 - 0.051508, max = Nov 01, 2017 - 0.223933 
Bitcoin, min = Nov 20, 2017 - 105.79, max = Oct 23, 2017 - 539.72 
Miners', min = Jul 24, 2017 - 0.007608, max = Oct 01, 2017 - 0.435185 
Verify, min = Dec 18, 2017 - 0.273456, max = Dec 15, 2017 - 0.588330 
Global, min = Apr 16, 2017 - 0.000012, max = Nov 11, 2016 - 0.009667 
GulfCoin, min = Nov 30, 2017 - 0.001370, max = Jul 09, 2017 - 0.019060 
Siacoin, min = Nov 30, 2015 - 0.000011, max = Jun 20, 2017 - 0.022364 
Netko, min = Mar 21, 2017 - 0.005658, max = May 08, 2017 - 0.788068 
MicroMoney, min = Dec 18, 2017 - 0.501213, max = Dec 18, 2017 - 0.824065 
Sphere, min = Aug 25, 2015 - 0.000233, max = Dec 08, 2017 - 7.20 
Advanced, min = Apr 03, 2017 - 0.000102, max = Jun 28, 2016 - 0.116509 
MediShares, min = Dec 14, 2017 - 0.028263, max = Dec 18, 2017 - 0.081865 
Bitcoin, min = Nov 13, 2017 - 1043.00, max = Aug 20, 2017 - 858.96 
BnrtxCoin, min = Oct 04, 2017 - 0.000233, max = Jul 16, 2017 - 0.009781 
BunnyCoin, min = Nov 15, 2017 - 0.000001, max = Mar 15, 2016 - 9e-08 
SingularDTV, min = Dec 23, 2016 - 0.005884, max = May 19, 2017 - 0.421450 
BestChain, min = Sep 21, 2017 - 0.000380, max = Apr 05, 2017 - 0.788592 
MarteXcoin, min = Aug 18, 2016 - 0.004649, max = Sep 11, 2017 - 8.18 
GAY, min = Feb 01, 2017 - 0.000677, max = May 30, 2017 - 5.94 
CybCSec, min = Nov 26, 2017 - 0.001403, max = Oct 07, 2017 - 0.042766 
Eryllium, min = Nov 15, 2017 - 0.001349, max = Feb 20, 2017 - 0.080139 
Tezos, min = Nov 13, 2017 - 1.40, max = Dec 16, 2017 - 6.03 
PeopleCoin, min = Nov 12, 2017 - 0.000055, max = Aug 06, 2017 - 0.006193 
BlazerCoin, min = May 26, 2017 - 0.000226, max = Apr 20, 2017 - 0.020956 
LiteDoge, min = Mar 06, 2017 - 0.000001, max = Dec 09, 2016 - 9e-07 
Trollcoin, min = Oct 14, 2014 - 0.000001, max = Jun 07, 2017 - 0.004171 
TeslaCoilCoin, min = Jun 15, 2016 - 0.001681, max = Mar 14, 2017 - 9.86 
Dovu, min = Dec 15, 2017 - 0.060570, max = Oct 31, 2017 - 0.319879 
Skycoin, min = May 04, 2017 - 0.602384, max = Nov 27, 2017 - 9.89 
GlassCoin, min = Nov 27, 2017 - 0.475531, max = Dec 04, 2017 - 2.27 
eGold, min = Nov 21, 2017 - 0.002223, max = Nov 01, 2017 - 0.034952 
BioBar, min = Apr 06, 2017 - 0.001161, max = Sep 10, 2017 - 0.042692 
Tracto, min = Nov 26, 2017 - 0.143664, max = Oct 19, 2017 - 2.09 
DarkLisk, min = May 19, 2016 - 0.000004, max = Dec 17, 2017 - 0.001797 
EverGreenCoin, min = Jun 04, 2016 - 0.000523, max = Dec 07, 2017 - 1.07 
USDe, min = Aug 23, 2016 - 0.000006, max = Aug 26, 2017 - 0.003652 
Numeraire, min = Nov 11, 2017 - 10.05, max = Jun 26, 2017 - 98.78 
InsaneCoin, min = May 27, 2017 - 0.007684, max = Jul 14, 2017 - 0.310043 
Energycoin, min = May 30, 2015 - 0.000023, max = Jun 24, 2017 - 0.473615 
Senderon, min = Nov 29, 2017 - 0.004780, max = Oct 20, 2017 - 0.026140 
Casino, min = Nov 07, 2017 - 0.166068, max = Dec 18, 2017 - 3.94 
Catcoin, min = Dec 17, 2015 - 0.000588, max = Jan 22, 2014 - 1.21 
GanjaCoin, min = Dec 26, 2014 - 0.000019, max = Nov 29, 2017 - 0.208633 
TeamUp, min = Nov 09, 2016 - 0.000007, max = Dec 17, 2017 - 0.000591 
Greencoin, min = May 21, 2015 - 0.000002, max = Nov 07, 2017 - 0.007647 
Golem, min = Dec 12, 2016 - 0.008797, max = Jun 19, 2017 - 0.739118 
PinkDog, min = Apr 01, 2017 - 0.000011, max = Feb 22, 2017 - 0.000423 
Civic, min = Jul 19, 2017 - 0.134196, max = Aug 14, 2017 - 0.748946 
Genaro, min = Dec 18, 2017 - 0.447490, max = Dec 18, 2017 - 0.447490 
ZoZoCoin, min = Nov 23, 2017 - 0.652161, max = Nov 22, 2017 - 4.09 
bitJob, min = Nov 28, 2017 - 0.009724, max = Nov 16, 2017 - 0.107363 
Titcoin, min = Oct 17, 2016 - 0.000148, max = Jun 07, 2017 - 0.063797 
Ethos, min = Jul 30, 2017 - 0.025657, max = Dec 18, 2017 - 2.08 
Maecenas, min = Nov 12, 2017 - 0.171073, max = Dec 14, 2017 - 0.826116 
SkinCoin, min = Nov 11, 2017 - 0.006556, max = Jul 21, 2017 - 0.385991 
LiteBitcoin, min = Nov 02, 2017 - 0.000803, max = Dec 05, 2017 - 0.029608 
Qora, min = Jan 26, 2016 - 0.000008, max = Jun 15, 2017 - 0.893915 
Databits, min = Mar 30, 2017 - 0.102280, max = Jun 11, 2017 - 1.57 
PeepCoin, min = Aug 14, 2017 - 0.000001, max = Jul 30, 2017 - 8.8e-07 
Sphre, min = Jul 16, 2017 - 0.097073, max = Oct 13, 2017 - 0.340145 
WhiteCoin, min = Nov 13, 2015 - 0.000066, max = Dec 18, 2017 - 0.255283 
adToken, min = Nov 12, 2017 - 0.016804, max = Jul 04, 2017 - 0.927688 
DPAY, min = Oct 22, 2016 - 0.000006, max = Dec 16, 2017 - 0.000970 
ATLANT, min = Nov 12, 2017 - 0.114275, max = Nov 01, 2017 - 0.415951 
Ripio, min = Nov 02, 2017 - 0.050641, max = Dec 18, 2017 - 0.282487 
Cobinhood, min = Oct 03, 2017 - 0.036109, max = Dec 17, 2017 - 0.502655 
NAV, min = Oct 31, 2014 - 0.000511, max = Dec 18, 2017 - 3.15 
Cheapcoin, min = Aug 08, 2017 - 0.000033, max = Jun 21, 2017 - 0.003397 
Unrealcoin, min = Jun 26, 2015 - 0.000002, max = Dec 18, 2017 - 0.075107 
Theresa, min = Jun 10, 2017 - 0.000397, max = Oct 06, 2017 - 0.011862 
Bodhi, min = Dec 10, 2017 - 0.389365, max = Dec 18, 2017 - 1.45 
SmartCash, min = Sep 15, 2017 - 0.004447, max = Dec 16, 2017 - 0.218266 
EMoneyPower, min = Nov 03, 2017 - 0.003681, max = Sep 11, 2017 - 0.375920 
Aion, min = Nov 02, 2017 - 0.478952, max = Dec 13, 2017 - 6.25 
MyWish, min = Dec 07, 2017 - 0.094464, max = Nov 29, 2017 - 0.316848 
eBitcoinCash, min = Nov 22, 2017 - 0.004856, max = Dec 16, 2017 - 0.041561 
LiteCoin, min = Nov 12, 2017 - 0.003634, max = Aug 30, 2017 - 0.351837 
NEM, min = Sep 15, 2015 - 0.000079, max = Dec 18, 2017 - 0.846193 
Rimbit, min = Jan 19, 2017 - 0.000102, max = Jan 21, 2015 - 0.863100 
Credence, min = Dec 15, 2017 - 0.011121, max = Nov 08, 2017 - 9.21 
MergeCoin, min = Dec 08, 2017 - 0.003539, max = Jun 24, 2017 - 0.219402 
Quantum, min = Nov 13, 2017 - 0.072415, max = Jun 08, 2017 - 0.490324 
Smart, min = Nov 29, 2017 - 1.87, max = Sep 30, 2017 - 9.30 
Zephyr, min = Nov 17, 2017 - 0.008690, max = Dec 17, 2017 - 0.092199 
FuturXe, min = Dec 15, 2017 - 0.090817, max = Oct 11, 2017 - 2.51 
Social, min = Sep 22, 2017 - 0.026311, max = Sep 30, 2017 - 2.42 
Joincoin, min = Sep 09, 2014 - 0.000052, max = Apr 13, 2017 - 2.88 
Unikoin, min = Dec 11, 2017 - 0.046679, max = Dec 18, 2017 - 0.329591 
Useless, min = Dec 15, 2017 - 0.004085, max = Jul 05, 2017 - 58.03 
ICOBID, min = Mar 19, 2017 - 0.000090, max = Dec 18, 2017 - 0.011145 
Qwark, min = Dec 26, 2016 - 0.009042, max = Aug 17, 2017 - 0.595997 
LeviarCoin, min = Nov 06, 2017 - 0.004737, max = Jul 06, 2017 - 0.465602 
Waves, min = May 05, 2017 - 0.082702, max = Aug 31, 2017 - 4.78 
Kyber, min = Oct 23, 2017 - 0.886744, max = Dec 18, 2017 - 2.89 
PlatinumBAR, min = Jun 02, 2016 - 0.011774, max = Sep 05, 2017 - 1.76 
Time, min = Nov 30, 2017 - 0.021889, max = Dec 18, 2017 - 0.107988 
Genesis, min = Nov 18, 2017 - 1.64, max = Nov 27, 2017 - 9.19 
Cashme, min = Nov 24, 2015 - 0.000003, max = Dec 18, 2017 - 0.000380 
PureVidz, min = Mar 17, 2017 - 0.000538, max = Feb 05, 2017 - 0.024694 
MTMGaming, min = Nov 23, 2017 - 0.002381, max = May 30, 2017 - 0.152442 
Tokugawa, min = Dec 11, 2017 - 0.264379, max = Dec 18, 2017 - 1.25 
Trident, min = Dec 16, 2017 - 0.117173, max = Dec 16, 2017 - 3.28 
SwagBucks, min = May 06, 2016 - 0.011286, max = Feb 08, 2017 - 8.18 
Bolivarcoin, min = Sep 26, 2015 - 0.000026, max = Aug 08, 2017 - 0.180675 
bitSilver, min = Jan 07, 2016 - 11.05, max = Dec 08, 2017 - 58.09 
ArtByte, min = Feb 04, 2016 - 0.000050, max = Jun 07, 2017 - 0.017409 
FairCoin, min = Aug 20, 2014 - 0.000281, max = Dec 15, 2017 - 1.91 
PoSW, min = Jan 13, 2017 - 0.000407, max = Dec 18, 2017 - 0.469669 
TechShares, min = Feb 22, 2017 - 0.004000, max = Jun 13, 2017 - 8.79 
Electroneum, min = Nov 12, 2017 - 0.022451, max = Nov 02, 2017 - 0.236234 
Authorship, min = Nov 16, 2017 - 0.003019, max = Oct 19, 2017 - 0.081853 
Xaucoin, min = May 02, 2015 - 0.000058, max = Sep 15, 2017 - 0.143918 
Rcoin, min = Mar 25, 2017 - 0.000009, max = Oct 09, 2016 - 0.012917 
Pure, min = Nov 27, 2017 - 0.199649, max = Dec 18, 2017 - 1.32 
Bismuth, min = Nov 12, 2017 - 0.282049, max = Dec 15, 2017 - 1.84 
NamoCoin, min = Dec 18, 2017 - 0.000041, max = Aug 27, 2017 - 0.006340 
Lampix, min = Dec 01, 2017 - 0.020331, max = Oct 02, 2017 - 0.789463 
IrishCoin, min = Feb 02, 2016 - 0.000083, max = Jul 26, 2017 - 0.011386 
AdEx, min = Jul 16, 2017 - 0.095992, max = Aug 17, 2017 - 2.50 
Pascal, min = Nov 12, 2017 - 0.014664, max = Jun 25, 2017 - 0.206813 
Network, min = Nov 13, 2017 - 0.000537, max = Oct 28, 2017 - 0.016208 
Blockchain, min = Sep 21, 2017 - 1.04, max = Sep 12, 2017 - 6.30 
Coin2.1, min = Dec 03, 2015 - 0.000040, max = Mar 28, 2017 - 0.008704 
Pillar, min = Oct 03, 2017 - 0.032522, max = Aug 23, 2017 - 0.391956 
RichCoin, min = Sep 06, 2016 - 0.000079, max = Dec 18, 2017 - 0.011662 
Bitbase, min = Dec 16, 2017 - 0.000719, max = Nov 01, 2017 - 6.48 
The, min = Apr 07, 2017 - 0.000001, max = May 29, 2016 - 9e-07 
GBCGoldCoin, min = Nov 24, 2017 - 0.000821, max = Dec 24, 2015 - 9.50 
Bitstar, min = May 13, 2014 - 0.000074, max = Jul 05, 2017 - 0.245665 
BenjiRolls, min = Jan 19, 2017 - 0.000018, max = Sep 24, 2017 - 0.011086 
PinkCoin, min = May 16, 2014 - 0.000013, max = Dec 18, 2017 - 0.045594 
Wowcoin, min = Mar 31, 2017 - 0.000010, max = Nov 15, 2016 - 0.000384 
Cream, min = Nov 20, 2017 - 0.001289, max = Aug 25, 2017 - 0.044277 
XDE, min = Jun 12, 2017 - 0.127343, max = Oct 12, 2017 - 6.30 
Dash, min = Feb 14, 2014 - 0.213899, max = Mar 25, 2017 - 99.42 
district0x, min = Aug 03, 2017 - 0.013456, max = Aug 21, 2017 - 0.261498 
BitSerial, min = Nov 28, 2017 - 2.26, max = Dec 13, 2017 - 9.20 
FoldingCoin, min = Jan 04, 2015 - 0.000032, max = Dec 07, 2017 - 0.054567 
UAHPay, min = Dec 12, 2017 - 0.000011, max = Nov 30, 2017 - 0.037235 
Counterparty, min = Jan 12, 2016 - 0.413080, max = Jul 28, 2017 - 9.95 
